%time,Roll,Pitch,Yaw,Airspeed,VelocityX,VelocityY,VelocityZ,Anomaly
1536691595360849112,6.193175793,-0.930810094,-58.97834015,0,7.785476685,-15.60736179,0.179058671,0
1536691595381401720,6.193175793,-0.930810094,-58.97834015,0,7.882690907,-15.53753376,0.223500669,0
1536691595475854520,20.79415512,-1.752197742,-57.31606674,0,8.07527256,-15.39144421,0.303207397,0
1536691595513163160,20.79415512,-1.752197742,-57.31606674,0,8.184878349,-15.31682491,0.354108065,0
1536691595543628152,20.79415512,-1.752197742,-57.31606674,0,8.235675812,-15.27831936,0.377761364,0
1536691595565795672,20.79415512,-1.752197742,-57.31606674,0,8.362645149,-15.19672298,0.408494622,0
1536691595630688440,20.79415512,-1.752197742,-57.31606674,0,8.552700043,-15.06842995,0.434740454,0
1536691595666146328,20.79415512,-1.752197742,-57.31606674,0,8.685310364,-14.97375011,0.449264318,0
1536691595730396152,20.79415512,-1.752197742,-57.31606674,0,8.817023277,-14.89008427,0.473639816,0
1536691595763395288,20.79415512,-1.752197742,-57.31606674,0,8.942378044,-14.80623341,0.512274563,0
1536691595792155064,20.79415512,-1.752197742,-57.31606674,0,9.084709167,-14.7170372,0.549913228,0
1536691595867758680,28.41040993,-2.18218565,-55.17303085,0,9.332530975,-14.54714108,0.63276273,0
1536691595884138680,28.41040993,-2.18218565,-55.17303085,0,9.452523232,-14.46823502,0.678975761,0
1536691595961219800,28.41040993,-2.18218565,-55.17303085,0,9.688254356,-14.29790783,0.772461176,0
1536691596006421272,28.41040993,-2.18218565,-55.17303085,0,9.893472672,-14.13622952,0.903950512,0
1536691596068603256,28.41040993,-2.18218565,-55.17303085,0,9.951609612,-14.09178257,0.941377819,0
1536691596088541048,28.41040993,-2.18218565,-55.17303085,0,10.14282703,-13.93220901,1.087033153,0
1536691596174882648,28.41040993,-2.18218565,-55.17303085,0,10.19616699,-13.88794518,1.116994739,0
1536691596184244664,28.41040993,-2.18218565,-55.17303085,0,10.3721714,-13.73230743,1.279121876,0
1536691596275602072,28.41040993,-2.18218565,-55.17303085,0,10.45321941,-13.65503407,1.349307537,0
1536691596287241464,28.41040993,-2.18218565,-55.17303085,0,10.60554791,-13.49960995,1.501703739,0
1536691596370421784,24.1258316,-5.292842865,-49.67559052,0,10.70327854,-13.39610577,1.64791584,0
1536691596404935640,24.1258316,-5.292842865,-49.67559052,0,10.75566578,-13.3281498,1.74610126,0
1536691596443160024,24.1258316,-5.292842865,-49.67559052,0,10.84992313,-13.2260704,1.906683087,0
1536691596485639128,24.1258316,-5.292842865,-49.67559052,0,10.89489746,-13.16370201,2.001593351,0
1536691596550822584,24.1258316,-5.292842865,-49.67559052,0,10.95692444,-13.09551239,2.114150286,0
1536691596584094360,24.1258316,-5.292842865,-49.67559052,0,11.02475929,-13.00905037,2.287968636,0
1536691596647935064,24.1258316,-5.292842865,-49.67559052,0,11.04404163,-12.98030853,2.348286867,0
1536691596667109880,19.00555229,-8.436775208,-46.0239296,0,11.10624981,-12.90087032,2.519541502,0
1536691596723737976,19.00555229,-8.436775208,-46.0239296,0,11.16252708,-12.81869507,2.678682804,0
1536691596759670552,19.00555229,-8.436775208,-46.0239296,0,11.23297787,-12.73226261,2.837663412,0
1536691596826714904,19.00555229,-8.436775208,-46.0239296,0,11.26096344,-12.68284607,2.949827194,0
1536691596861713400,19.00555229,-8.436775208,-46.0239296,0,11.29434395,-12.61973476,3.136824608,0
1536691596938286808,19.00555229,-8.436775208,-46.0239296,0,11.31723022,-12.58995342,3.205006599,0
1536691596998188792,19.00555229,-8.436775208,-46.0239296,0,11.38114738,-12.48612976,3.457427025,0
1536691597012780312,19.00555229,-8.436775208,-46.0239296,0,11.38936615,-12.46572304,3.527313471,0
